date,media NO2
2023-07-08,11.0
2023-07-15,14.0
2023-07-22,14.0
2023-07-29,13.0
2023-08-05,11.0
2023-08-12,11.0
2023-08-19,11.0
2023-08-26,16.0
2023-09-02,12.0
2023-09-09,17.0
2023-09-16,16.0
2023-09-23,14.0
2023-09-30,16.0
2023-10-07,19.0
2023-10-14,21.0
2023-10-21,18.0
2023-10-28,18.0
2023-11-04,17.0
2023-11-11,22.0
2023-11-18,22.0
2023-11-25,26.0
2023-12-02,26.0
2023-12-09,27.0
2023-12-16,24.0
2023-12-23,31.0
2023-12-30,28.0
2024-01-07,25.0
2024-01-14,25.0
2024-01-21,30.0
2024-01-28,40.0
2024-02-04,38.0
2024-02-11,29.0
2024-02-18,29.0
2024-02-25,24.0
2024-03-03,22.0
2024-03-10,19.0
2024-03-17,20.0
2024-03-24,20.0
2024-03-31,22.0
2024-04-07,18.0
2024-04-14,18.0
2024-04-21,12.0
2024-04-28,14.0
2024-05-05,13.0
2024-05-12,13.0
2024-05-19,13.0
2024-05-26,12.0
2024-06-02,12.0
2024-06-09,12.0
2024-06-16,11.0
2024-06-23,11.0
2024-06-30,11.0
2024-07-07,11.0
2024-07-14,11.0
2024-07-21,13.0
2024-07-28,13.0
2024-08-04,12.0
2024-08-11,14.0
2024-08-18,12.0
2024-08-25,15.0
2024-09-01,16.0
2024-09-08,15.0
2024-09-15,10.0
2024-09-22,15.0
2024-09-29,15.0
2024-10-06,15.0
2024-10-13,18.0
2024-10-20,17.0
2024-10-27,15.0
2024-11-03,16.0
2024-11-10,24.0
2024-11-17,28.0
2024-11-24,25.0
2024-12-01,27.0
2024-12-08,32.0
2024-12-15,32.0
2024-12-22,29.0
2024-12-29,25.0
